,CattleFarm.const_itersMu,CattleFarm.const_itersSigma,CattleFarm.const_number,CattleFarm.const_produced,CattleFarm.const_required,CattleFarm.const_salaryMu,CattleFarm.const_salarySigma,CattleFarm.const_time,CattleFarm.var_capitalMu,CattleFarm.var_employeesMu,CattleFarm.var_goodwillMu,CattleFarm.var_total_value_destroyedMu,CattleFarm.var_valueProducedMu
0,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-14243799.0,0.49064636,531397.0,795.0812,4847525.0
1,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-20632140.0,0.47542942,1319723.0,666.11804,4924461.0
2,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-22687076.0,0.48075277,1598857.5,618.0829,5467578.0
3,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-30239496.0,0.5087065,1942154.8,638.3166,5965353.5
4,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-38522370.0,0.5747953,2277430.5,673.77783,6709370.0
5,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-44411556.0,0.66609234,2863161.0,693.6585,7989165.5
6,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-48855110.0,0.7693911,3564241.5,713.284,9647709.0
7,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-53159544.0,0.87793577,4455857.0,750.7418,11689574.0
8,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-58627304.0,0.9823798,5602542.5,805.9292,14253986.0
9,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-64763468.0,1.0973856,6832597.0,872.9056,17260518.0
10,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-73230340.0,1.2166822,8073495.0,952.9003,20218188.0
11,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-81924700.0,1.3369632,9367280.0,1034.6377,23469024.0
12,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-88721224.0,1.4675502,10820187.0,1107.5115,26936832.0
13,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-96357160.0,1.5905057,12355497.0,1177.7622,30426264.0
14,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-105210400.0,1.7051764,13859532.0,1244.4055,33871716.0
15,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-114809440.0,1.8161902,15483559.0,1304.2703,37517364.0
16,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-126604930.0,1.9221766,17023534.0,1344.0615,40949864.0
17,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-139537900.0,2.0295782,18551664.0,1364.9834,44223530.0
18,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-152740130.0,2.1309795,20098944.0,1369.7065,47411428.0
19,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-166185310.0,2.2218726,21664020.0,1335.8335,50494290.0
20,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-177783060.0,2.3130162,23243246.0,1294.7678,53511324.0
21,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-189114460.0,2.3998573,24587486.0,1257.031,56240376.0
22,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-199971280.0,2.5114582,25739224.0,1215.8723,58742836.0
23,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-210884720.0,2.646397,26789722.0,1182.4099,61034932.0
24,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-222059730.0,2.7950695,27784816.0,1146.9121,63174028.0
25,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-232974110.0,2.950419,28785628.0,1115.1895,65349896.0
26,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-243728130.0,3.1114273,29809734.0,1095.0818,67648070.0
27,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-254892530.0,3.2727761,30923212.0,1084.3962,70086500.0
28,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-266622240.0,3.433733,32084664.0,1081.3079,72655100.0
29,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-278797100.0,3.5954673,33337710.0,1084.8132,75378670.0
30,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-291311780.0,3.7610104,34645828.0,1092.9839,78256350.0
31,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-303708960.0,3.9367056,35999150.0,1104.5995,81246110.0
32,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-316210340.0,4.1212544,37392004.0,1119.0654,84339760.0
33,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-328957470.0,4.314151,38824304.0,1135.6879,87533580.0
34,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-341945630.0,4.5164857,40291810.0,1152.2566,90810690.0
35,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-355337820.0,4.727646,41780404.0,1165.8717,94122504.0
36,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-369467170.0,4.9430575,43282948.0,1174.2086,97419440.0
37,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-383942500.0,5.1635666,44778416.0,1174.8286,100703656.0
38,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-398837570.0,5.3879104,46273256.0,1161.0728,103967040.0
39,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-414048740.0,5.6199803,47801950.0,1141.6716,107230330.0
40,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-429426100.0,5.8595686,49351784.0,1120.7515,110521330.0
41,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-444925860.0,6.1030993,50962576.0,1103.1433,113909080.0
42,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-460594500.0,6.3470316,52635160.0,1091.8022,117436260.0
43,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-476555400.0,6.589229,54368504.0,1087.3511,121113256.0
44,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-492957700.0,6.8274884,56175268.0,1090.8076,124967510.0
45,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-509951500.0,7.0616364,58048468.0,1102.5691,128996980.0
46,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-527668700.0,7.293018,59979864.0,1122.2672,133186960.0
47,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-546197500.0,7.5235243,61964572.0,1149.1392,137526380.0
48,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-565593500.0,7.7547297,64006796.0,1182.6896,142017000.0
49,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-585911550.0,7.987688,66116384.0,1223.0576,146675330.0
50,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-607219400.0,8.22327,68301736.0,1270.456,151521310.0
51,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-629618100.0,8.462245,70574900.0,1325.1975,156606850.0
52,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-653267140.0,8.707718,72941370.0,1386.9072,161986350.0
53,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-678455800.0,8.959185,75436664.0,1447.4521,167657470.0
54,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-704969300.0,9.223353,78035850.0,1500.3304,173556020.0
55,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-732690900.0,9.50235,80761144.0,1548.19,179691970.0
56,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-761537200.0,9.796629,83611080.0,1593.31,186083470.0
57,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-791514700.0,10.106096,86596260.0,1637.865,192754480.0
58,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-823043400.0,10.423212,89760620.0,1680.5212,199792620.0
59,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-856310660.0,10.74868,93083016.0,1720.7305,207185010.0
60,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-891160770.0,11.089241,96529864.0,1759.4705,214858340.0
61,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-927436160.0,11.446877,100111496.0,1797.5354,222813940.0
62,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-965015100.0,11.822151,103828230.0,1835.6062,231059980.0
63,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1003841660.0,12.215095,107683610.0,1874.1953,239604850.0
64,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1043919000.0,12.624491,111691624.0,1914.1418,248475200.0
65,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1085287400.0,13.05113,115839480.0,1955.9492,257660980.0
66,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1127894500.0,13.496264,120118030.0,1999.2451,267140420.0
67,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1171724700.0,13.961663,124516500.0,2044.0588,276889540.0
68,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1216814500.0,14.447104,129044730.0,2090.5474,286919300.0
69,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1263255600.0,14.952151,133709480.0,2138.93,297249150.0
70,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1311193900.0,15.47648,138521820.0,2189.2266,307904770.0
71,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1360761000.0,16.019457,143499020.0,2241.6213,318920480.0
72,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1412067700.0,16.581736,148643650.0,2296.0452,330311740.0
73,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1465200100.0,17.164164,153964100.0,2352.3184,342092500.0
74,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1520062300.0,17.769726,159451180.0,2407.5237,354261730.0
75,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1576671100.0,18.399683,165127630.0,2461.8264,366831200.0
76,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1635083400.0,19.053598,171002860.0,2516.6558,379826020.0
77,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1695380500.0,19.731297,177082770.0,2572.9148,393267170.0
78,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1757658400.0,20.433123,183372370.0,2631.1267,407170020.0
79,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1822019100.0,21.159931,189874450.0,2691.5764,421544200.0
80,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1888550300.0,21.91251,196595920.0,2754.4146,436403520.0
81,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-1957332900.0,22.691412,203546610.0,2819.7732,451769180.0
82,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2028453800.0,23.497135,210734530.0,2888.0906,467661760.0
83,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2102028300.0,24.329851,218162320.0,2960.6492,484097300.0
84,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2178142700.0,25.190554,225842500.0,3036.9304,501096200.0
85,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2256875300.0,26.080467,233782600.0,3116.6406,518675900.0
86,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2338307300.0,27.000645,241993070.0,3199.6553,536856700.0
87,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2422511900.0,27.951954,250484400.0,3286.0564,555660350.0
88,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2509573000.0,28.935284,259266060.0,3375.8967,575109000.0
89,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2599577600.0,29.951414,268349810.0,3469.2932,595227200.0
90,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2692610800.0,31.001083,277746240.0,3566.4014,616039740.0
91,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2788780300.0,32.085323,287464220.0,3667.2585,637567740.0
92,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2888226600.0,33.20575,297510750.0,3771.72,659827700.0
93,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-2991082500.0,34.363846,307897630.0,3879.636,682843000.0
94,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-3097474000.0,35.56114,318636580.0,3990.951,706639000.0
95,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-3207526400.0,36.799072,329741250.0,4105.662,731243970.0
96,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-3321366000.0,38.079212,341224450.0,4223.85,756686300.0
97,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-3439131400.0,39.403168,353099650.0,4345.58,782996300.0
98,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-3560948700.0,40.772537,365382270.0,4471.0107,810206140.0
99,10.0,1.0,1.0,5.0,1.0,2800000.0,200.0,6.0,-3686938400.0,42.18869,378090050.0,4600.4536,838354300.0
