,Refinery.const_consumed,Refinery.const_itersMu,Refinery.const_itersSigma,Refinery.const_number,Refinery.const_produced,Refinery.const_salaryMu,Refinery.const_salarySigma,Refinery.const_time,Refinery.var_capitalMu,Refinery.var_employeesMu,Refinery.var_goodwillMu,Refinery.var_total_value_destroyedMu,Refinery.var_valueProducedMu
0,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1729180000.0,2.664034,12427066.0,-11714.1875,1095266.0
1,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-2117020800.0,2.3218808,15081554.0,322780.2,198435.86
2,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-2259164400.0,2.6836324,15310960.0,180626.44,207482.25
3,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-2352308000.0,3.137351,16217804.0,77178.48,269159.88
4,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-2406580700.0,3.3925548,16862480.0,15378.586,311891.47
5,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-2431648800.0,3.4305444,16608482.0,-41808.633,298979.94
6,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-2350709800.0,3.3504353,15472066.0,-105250.18,322971.9
7,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-2182508500.0,3.032431,13544540.0,-143723.53,322726.22
8,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-2014190700.0,2.904643,12365810.0,-157075.84,392466.06
9,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1928132200.0,2.877943,11514282.0,-141799.62,474996.16
10,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1900494700.0,2.8371305,10748432.0,-135946.34,522373.06
11,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1892117000.0,2.8805535,10365684.0,-131086.1,581187.9
12,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1859129500.0,2.984477,10287575.0,-133540.22,687879.94
13,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1790783100.0,3.1117918,10371992.0,-137772.84,822337.06
14,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1695486600.0,3.2592902,10647742.0,-139664.28,955981.6
15,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1583637600.0,3.400646,10956640.0,-143441.22,1078223.8
16,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1446310300.0,3.5132217,11220000.0,-150200.0,1184688.0
17,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1270249700.0,3.5870113,11452750.0,-157312.16,1281381.5
18,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1119497200.0,3.5625346,11384238.0,-128018.164,1410676.2
19,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-1005061400.0,3.5643167,10814140.0,-96478.664,1539663.2
20,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-849459200.0,3.926096,10292376.0,-80528.98,1601310.0
21,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-722598900.0,4.356992,10536861.0,-64814.227,1590770.8
22,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-700186000.0,4.602236,11151656.0,-35719.79,1492507.0
23,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-744319200.0,4.7230268,11768924.0,-19342.734,1341916.5
24,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-825024500.0,4.7524443,12067164.0,-12344.18,1209019.0
25,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-892122560.0,4.8269753,12464482.0,-5669.789,1114436.5
26,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-947896300.0,4.964933,12777770.0,-12489.469,1045950.2
27,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-984508540.0,5.1577234,13107894.0,-26623.008,989513.44
28,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-994183800.0,5.3430967,13339128.0,-44666.047,946156.6
29,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-965119200.0,5.527683,13485518.0,-59190.875,927900.75
30,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-904113150.0,5.664909,13589288.0,-66179.04,919586.5
31,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-815798460.0,5.7555404,13435664.0,-65097.695,905038.06
32,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-722560900.0,5.770343,13043990.0,-54623.82,887004.6
33,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-630868000.0,5.7202377,12676362.0,-39745.906,867308.75
34,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-534698400.0,5.615849,12272768.0,-19845.633,840546.4
35,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-434043100.0,5.4617786,11773367.0,4291.2188,807861.3
36,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-329250940.0,5.2714806,11215421.0,32400.36,773393.7
37,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-259344580.0,5.08563,10915943.0,42535.07,709004.44
38,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-207012720.0,4.8787885,10761157.0,31685.652,580205.9
39,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-118399970.0,4.707194,10291732.0,-125.80469,423275.84
40,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,-31030816.0,4.615642,9996328.0,-17793.078,297645.0
41,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,50534050.0,4.591062,9612760.0,-27210.938,229553.67
42,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,76279070.0,4.522605,9289136.0,-28633.953,183634.33
43,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,89200580.0,4.3862514,9086470.0,-20273.43,179152.77
44,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,102694370.0,4.2415957,8954272.0,-11179.156,189439.78
45,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,109494460.0,4.090266,9051695.0,-3666.1484,210589.73
46,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,124429630.0,3.9194617,9078160.0,5385.8555,242404.94
47,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,151484100.0,3.776967,8964400.0,16797.14,269133.12
48,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,184856480.0,3.6299815,8812996.0,28611.074,302904.06
49,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,220183900.0,3.5005784,8755660.0,40470.453,355976.34
50,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,271246880.0,3.330191,8538508.0,50232.875,430069.88
51,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,319063200.0,3.1415434,8309488.0,59820.117,509945.1
52,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,358356960.0,2.967172,8261175.0,62817.29,588379.6
53,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,400770720.0,2.8125753,8188366.0,63410.273,660727.75
54,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,444057180.0,2.665997,8157199.0,61778.25,728553.44
55,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,488501980.0,2.542201,8173903.5,65704.81,815651.2
56,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,521790820.0,2.3803532,8138757.5,85181.07,898245.1
57,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,549099140.0,2.1655626,7924015.0,119902.266,972900.0
58,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,581787400.0,1.9311534,7607023.0,167481.17,1085204.5
59,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,609218700.0,1.768367,7402432.0,220060.31,1197136.8
60,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,639168400.0,1.6747382,7343271.0,275373.06,1293889.8
61,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,677669760.0,1.6414255,7328972.0,332195.5,1392267.5
62,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,716551700.0,1.6526175,7365105.0,388297.0,1497954.0
63,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,772586750.0,1.6671088,7339389.0,438073.78,1569681.0
64,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,846306700.0,1.6728148,7173356.5,482921.8,1615701.5
65,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,940973200.0,1.6656097,6932821.0,529460.3,1660570.8
66,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1019928300.0,1.6319691,6667358.0,571616.9,1694249.5
67,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1102221000.0,1.6085024,6386890.5,609523.5,1726740.5
68,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1194162000.0,1.5886848,6064362.5,641101.6,1750730.0
69,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1279297700.0,1.5612218,5810858.0,671511.6,1769528.8
70,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1362352300.0,1.511642,5559650.5,701803.75,1779654.5
71,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1457508900.0,1.4558108,5239794.0,734881.5,1802654.5
72,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1550019200.0,1.35269,4920054.0,780240.3,1830978.5
73,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1643918300.0,1.2356137,4594081.5,829977.06,1858818.2
74,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1738321400.0,1.1116445,4281423.0,880513.0,1882936.5
75,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1834575100.0,0.9781037,3971622.0,931061.2,1904241.2
76,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1937447700.0,0.8381774,3681926.5,973275.0,1933373.8
77,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2044337200.0,0.6906814,3378783.8,1016132.3,1964597.5
78,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2161515000.0,0.54399455,3072023.0,1061350.1,2000983.2
79,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2283919400.0,0.45090282,2877200.5,1108966.1,2046460.0
80,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2407519000.0,0.36492634,2724809.5,1161187.5,2107472.0
81,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2532711000.0,0.28296244,2598061.0,1216035.5,2174796.0
82,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2662185700.0,0.19365966,2463440.0,1273801.4,2247287.2
83,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2786176500.0,0.1150713,2225510.2,1334855.4,2339048.2
84,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2906372900.0,0.020378351,1940905.5,1400481.4,2442122.5
85,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3042385200.0,-0.04240215,1512135.2,1469866.6,2575193.5
86,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3181403100.0,-0.10764623,1067443.5,1543571.1,2715239.8
87,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3326037800.0,-0.17121124,596472.0,1618067.5,2858779.8
88,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3478310400.0,-0.23613739,76924.75,1692921.9,3003993.5
89,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3638986500.0,-0.30906188,-517593.5,1771287.6,3152788.2
90,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3805383700.0,-0.41263306,-1117259.5,1857484.8,3300924.5
91,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3979557400.0,-0.5250801,-1773030.5,1947539.0,3451929.0
92,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4160721400.0,-0.6456727,-2464249.0,2041590.4,3607342.0
93,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4343264000.0,-0.79018867,-3092189.0,2142906.0,3767129.8
94,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4531519000.0,-0.9423305,-3742426.5,2247962.8,3931169.2
95,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4726506500.0,-1.055683,-4419919.5,2346479.2,4073307.8
96,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,4932111000.0,-1.1379272,-5043535.5,2435855.5,4217910.0
97,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,5147053000.0,-1.2304474,-5598076.5,2525564.5,4366382.0
98,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,5366948400.0,-1.3354934,-6167603.5,2617297.0,4519268.5
99,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,5592270300.0,-1.45372,-6769205.5,2711069.8,4677032.5
