,CattleFarm.var_capitalMu,CattleFarm.var_capitalSigma,CattleFarm.var_employeesMu,CattleFarm.var_employeesSigma,CattleFarm.var_goodwillMu,CattleFarm.var_goodwillSigma,CattleFarm.var_total_value_destroyedMu,CattleFarm.var_total_value_destroyedSigma,CattleFarm.var_valueProducedMu,CattleFarm.var_valueProducedSigma
CattleFarm.const_itersMu,0.930628375755048,-0.09726917520471179,0.9892409320830378,0.9915188721586314,-0.8789796928484218,-0.004920140035339262,0.9479623140465178,-0.9902595957329444,0.8939376383213391,0.6941750359910592
CattleFarm.const_itersSigma,-0.6054377791590062,-0.8503326781939986,0.8136614441836929,-0.2022078142184541,-0.5213882031532449,-0.9121031005056879,-0.7273816627854301,0.4068234288779734,-0.9473017365362736,-0.7368999788758281
CattleFarm.const_number,-0.11468603406267519,-0.8977976115752319,-0.4137717214068934,0.027543723505528583,-0.5249490299789492,0.6620777780322236,-0.12271520280368176,0.10685525033594731,0.5929015360732821,-0.6911418200569025
CattleFarm.const_produced,0.7982455363635206,-0.37948033926155134,0.04312339891883202,-0.2557722893142053,-0.3600418928088062,-0.5353647246787024,0.7679283394586485,0.4317773059415521,-0.40133347496313565,-0.27326070940896285
CattleFarm.const_required,-0.7033079377399395,-0.5109140437510131,0.3066879171918251,-0.17435862112144507,-0.2618564070822778,-0.3304319506109324,-0.3734146717833948,0.6173462779816431,-0.4459485209706952,0.0898240066186875
CattleFarm.const_salaryMu,0.3350997443145512,-0.6628674292668882,0.1565161837454743,0.20413837659105358,0.7783995961294746,-0.5039360771717653,-0.024555637640592824,0.35931892107085645,0.4769302237101299,-0.7890816258996536
CattleFarm.const_salarySigma,-0.16352178175292725,-0.47937314358939165,-0.43905172269009124,0.4213764926859949,-0.010824091400948447,-0.09974768845868578,-0.7345943892108766,-0.008177755151161863,0.3686814159642036,0.46660893917513596
CattleFarm.const_tacticsMu,0.28045312180915277,0.13949124606778018,-0.2790432160879639,0.32423291845321883,-0.4435013325080755,-0.3141707465472361,-0.3861232282534626,0.4318434152004491,-0.10921318828381275,-0.4825188156534764
CattleFarm.const_tacticsSigma,0.34651511747033126,0.2810127845636799,-0.5245369291136128,0.14787846055932646,-0.20222139967606279,0.2712033527252631,0.15625269765164543,-0.014562563926578152,0.3677376343846531,0.15738099086919305
CattleFarm.const_time,0.060100354552872666,0.17653761812726554,-0.020567759297908796,0.08988485390586919,0.6580952973883301,0.5154317060531821,-0.10618099207117185,0.41015105614612735,0.47667459080737073,0.2774530464142134
CattleFarm.var_capitalMu,0.9588465227631855,-0.06537032848115296,-0.6837469164724607,0.18970837622645512,-0.4129039518789783,-0.22435044298894646,0.13811986366484957,0.29551924344953356,-0.10357356867190742,-0.11834424488731494
CattleFarm.var_capitalSigma,-0.2530508404001798,0.9106487185696478,0.3963331768255089,0.37635854438260885,0.09749928940650956,0.5384582436458374,0.19843625655478844,0.7342919445165706,0.5664464318949892,0.7000569420413862
CattleFarm.var_employeesMu,-0.07503356202648549,0.5297724325739094,0.8736677530240136,0.7838754160643583,0.5855204776038228,0.45889853829091914,-0.30997979634134487,0.10132722323271974,0.5573420534736977,0.48682936576810715
CattleFarm.var_employeesSigma,-0.13292471928523705,0.2333230577731317,0.545994300921904,0.3149845901456876,0.14392685059126067,0.4363265893108046,-0.09995921109023485,0.008668260179186952,-0.14127040459164977,0.3941084045317719
CattleFarm.var_goodwillMu,0.11691390476223196,-0.025938008242673394,0.14248110244091797,0.05039343670413785,-0.18027578634287555,0.02321686379622938,-0.12163433575299569,-0.06707188982772047,0.383136751548383,-0.06040916522158077
CattleFarm.var_goodwillSigma,-0.05679016162819467,-0.009690558633474473,-0.0524300919519766,0.006163343453392347,-0.4225384291594771,-0.1959828790474471,0.18963396886493064,0.18941257201340397,-0.2028369643741646,0.2873750370880632
CattleFarm.var_total_value_destroyedMu,-0.046927645485295266,-0.01996763304509123,-0.08357403268460398,0.01158321422435914,-0.03305537496346251,0.15379600587672235,0.9573083950818444,-0.10635713990724599,0.11467577363204426,0.1530874646088158
CattleFarm.var_total_value_destroyedSigma,0.10809263546677282,-0.08989987036639081,-0.0008420469949766129,-0.26899204132984433,-0.021543720140371682,-0.02693771854033809,0.0007384263101178094,0.9596867569887899,0.0733641090440969,-0.05978533807190446
CattleFarm.var_valueProducedMu,-0.04894258852483173,-0.03725398845847135,0.0036000390264389467,-0.10113691668612439,0.675037825171954,0.4214216474282306,0.03548118517911767,0.06062283930480498,0.7609513859060772,0.4160055660730655
CattleFarm.var_valueProducedSigma,0.06023107469163734,0.2086005545151985,-0.01733522058813322,0.27588063097535354,0.03567901777796752,0.4936379474085769,-0.0077191333147148804,-0.09262950516092117,0.24194161556159974,0.6321011514259935
Person.var_capitalMu,0.08189301965917628,0.06449180967793232,0.09256582627955938,0.040677595870573714,-0.10965431239314889,-0.04270397708377986,0.01242110559639501,0.01835563980463865,-0.08323630208891741,0.008260635626691775
Person.var_capitalSigma,-0.06957186762399081,-0.01333157811969107,-0.13135122531814014,-0.032239665259124334,0.1068588392357801,-0.10051500068190697,-0.007981649552550981,0.01810109028945262,0.13187274053314305,0.12889993524206156
Person.var_happinessMu,-0.03507165348859276,-0.08245180943708343,0.1754730890138665,-0.06409738373626137,-0.09847842079384966,0.04636500490939517,-0.002185413112214991,-0.014910720346170837,0.04527640279343235,0.03158317326876111
Person.var_happinessSigma,0.005986130004034623,0.10314474820098672,-0.021329186756331612,0.029108850779129496,-0.07492960197732054,-0.08678281927512858,-0.015828907277294784,-0.03716872151721839,-0.025299312733155624,-0.09494150497857926
Person.var_salaryMu,0.03870078738728265,-0.13463448062054786,0.02153775349043465,0.009618741158435444,-0.06327356061593466,-0.13770390331737567,-0.00225140159138272,0.012335997607976911,-0.026387666449219378,-0.020114547705661696
Person.var_salarySigma,0.08337045629819281,0.009285992576076452,0.10570269495480339,0.09321260124004846,-0.060558549585689424,0.05888619428702232,-0.005937608377789986,-0.008022013486985884,-0.03008368418455959,0.01258123843210474
Person.var_total_value_destroyedMu,0.0053531497171311945,0.24963285057728804,0.08980417107949766,-0.1220393887419769,0.1137326072587185,-0.07268286467889849,-0.13136332654112878,0.038649823942653656,0.06749181620176221,0.12035888955512704
Person.var_total_value_destroyedSigma,-0.07027920248092182,-0.24220289988648253,-0.1214413573991631,0.0528152188488206,-0.004556622106190354,0.0822175706136597,0.042849301734042215,0.06517802107560891,-0.08184649840483682,-0.050177317190507144
