,Refinery.var_capitalMu,Refinery.var_capitalSigma,Refinery.var_employeesMu,Refinery.var_employeesSigma,Refinery.var_goodwillMu,Refinery.var_goodwillSigma,Refinery.var_total_value_destroyedMu,Refinery.var_total_value_destroyedSigma,Refinery.var_valueProducedMu,Refinery.var_valueProducedSigma
Refinery.const_consumed,-0.9655269969605238,0.9875245568449758,-0.9526411870115779,-0.8030579059658831,0.13824402592925658,0.8704544035435345,0.9985433056526452,0.9322794968554545,0.9857205885811734,0.409140722111871
Refinery.const_itersMu,-0.3176262077297661,-0.4005499684579306,-0.7173373150692587,-0.17492144238233084,-0.9866242098388737,-0.5469527949907644,-0.47432089761114793,-0.9490758701858373,-0.2946985090915429,-0.8262119999971667
Refinery.const_itersSigma,-0.5240085316136255,0.39492310782759205,0.8612290980926689,0.9562827986024649,-0.4329031053239988,-0.6808739230734835,-0.1384333649195223,-0.36801051021396913,-0.1974238967305828,0.36870222036666805
Refinery.const_number,0.22705165307518085,-0.20652969688710518,0.11035900610633789,-0.2862362089770302,-0.32659076666910547,-0.7091301094987073,-0.359471282398051,-0.5711876952781181,-0.5816735620338165,0.805187084544833
Refinery.const_produced,-0.4317982192112235,0.6803364034056412,0.040087328398978744,0.062331651097903056,0.11156052169308674,-0.4261933153464286,0.05695657598959774,0.11741662423770838,-0.05616508006134178,0.551807090250695
Refinery.const_salaryMu,-0.04550168761156463,-0.361193964790243,-0.32567434125071343,-0.5702379056695263,-0.5264332125249532,-0.35430210738187573,-0.02492060566460259,-0.3064879340761978,-0.07331998942523568,-0.03446016449918723
Refinery.const_salarySigma,-0.3079331856212245,-0.12442544849441059,-0.03315228529877746,0.022872893732106263,-0.11356103299217112,-0.6269008462139981,0.4092487450126955,-0.5243173955718067,0.03534745786803326,-0.04639557904095602
Refinery.const_tacticsMu,-0.6509808758655112,0.584217315595337,0.3548965028214693,0.496658576952684,0.2024546217878672,0.17828618136815272,0.0872718593214896,0.49843919657330044,0.22367235457843765,-0.2555621521781341
Refinery.const_tacticsSigma,-0.6298026938553817,0.5980192308522169,0.5657224957332099,0.4966272294319797,0.22561222129329495,0.03225737021027852,0.3046625602221463,-0.4723696752250538,0.3940002571049901,0.07815832468403217
Refinery.const_time,0.1265450123272974,-0.1873036402889059,0.283957045565823,-0.146837080627605,0.2529024309420073,-0.08596982592078432,0.039145484833153735,-0.0016525773949586369,-0.08966881450074612,0.5450925217642515
Refinery.var_capitalMu,0.6561357821027779,-0.6614955693026906,-0.4744404827673945,-0.7780435601204629,-0.6338498329328435,-0.429369748099841,0.10429322496561297,-0.1002537113257192,-0.34335049134623563,-0.29099978915998453
Refinery.var_capitalSigma,-0.4298791684536687,0.7696877404088345,-0.3689617227922303,-0.07205933962101733,0.3361492199841086,0.710535624288326,0.07485012321100291,-0.27776960972441145,0.3844444843926041,-0.4476795061544228
Refinery.var_employeesMu,-0.02555491678046903,0.13447254156327862,0.7242433666381504,0.5855472155278886,0.5705104224231297,0.37180064860408846,-0.10531009965973401,0.15988323949805677,0.10669379608518585,0.24867981121754923
Refinery.var_employeesSigma,-0.11258570018593816,-0.05262641337294023,0.8362949154361008,0.6447165907451178,0.30969472852474483,0.1304303560077222,0.08101230386586185,0.17058403845009837,0.15848124534529873,0.3920642281511185
Refinery.var_goodwillMu,-0.4860237687507315,-0.08868285048732487,0.2949616591401737,0.2424976304099121,0.1977628456226713,0.02402587819458505,0.27303161677479787,-0.29360033560299487,0.055759173739941915,-0.18074340643394804
Refinery.var_goodwillSigma,0.3257558795703683,-0.1062687503079111,-0.1350834893885383,-0.03909616041645139,0.1703955567287577,0.11956656283427457,-0.28899976128727006,0.17059964793299262,-0.19189561584425066,0.5174688151688072
Refinery.var_total_value_destroyedMu,-0.0075040741629420525,-0.13842097834318348,0.09429597932628785,-0.11347807937917175,0.042061132718874426,0.1555075849914338,0.911814417143973,0.6506985888618938,0.2783774709888705,-0.11947887228042506
Refinery.var_total_value_destroyedSigma,-0.01972033339632608,0.19793348412887357,0.05275637776041958,0.2099586731204808,0.3479659151268246,0.09221232289678175,0.1714055813056363,0.8487921193091786,0.25085041553637655,0.16164200457048422
Refinery.var_valueProducedMu,-0.241132317001221,0.07732645317554672,0.2218660670792608,0.10444259566626622,-0.14438306275104174,0.04591144859019116,0.14163115251619937,-0.13648092726145908,0.6747889280999644,0.47601919768528445
Refinery.var_valueProducedSigma,-0.016673731696862336,0.20432432967802347,0.2875356392829804,0.15748767176214354,-0.09810734682014448,0.1245861869077258,0.11183888479768625,0.0478313642244832,0.5230604377484921,0.5734003095368185
Person.var_capitalMu,-0.041188212006221935,-0.012795432089989246,0.044778609185416214,-0.022799308265588555,-0.022642479923872697,-0.22932228090197718,0.003347733517256302,0.027585470327526063,0.06512250824402675,0.02695524275721937
Person.var_capitalSigma,-0.18888458553401077,0.25940483576255985,-0.04700278935537843,-0.006427354268747584,-0.061593889228337716,0.09996189527246438,0.016455938608113427,-0.0933181392044681,0.0423344186912294,0.22173048127194075
Person.var_happinessMu,0.08053634886767806,-0.0007330883170268581,-0.14653469883382858,-0.16444323335753977,0.0972033406333844,-0.0015725926219251596,-0.009899813312658821,0.04119657094983984,-0.057966442326997755,-0.017973911317346863
Person.var_happinessSigma,0.04450338140435514,-0.04401223642303399,-0.056008797689089916,-0.005144165724207368,-0.11288507951411884,0.015328201715682927,0.04819531743317832,0.010532943678349034,-0.07476564149813417,-0.03536566970309402
Person.var_salaryMu,-0.01562550714078108,0.07503444449667461,-0.05060024636503666,0.029565408739365518,0.04460851068891017,0.13286597166478845,-0.015902704903999174,0.050523515402624807,0.0009077242538417095,-0.006174615497471733
Person.var_salarySigma,-0.00761093995701026,-0.00035668180385904386,-0.009941449036879746,-0.06096580182346332,-0.036870136429368816,-0.19529892027575008,-0.0015509462235458698,0.037959212177010496,-0.07964425469935542,-0.08078137523813164
Person.var_total_value_destroyedMu,0.12270729973598,0.11395267172467602,-0.22854289468323954,0.03878686052427683,-0.0033056146644126643,0.08200439351482691,-0.13513132337433206,0.21398934396628244,-0.08439675525961299,0.025077036931396134
Person.var_total_value_destroyedSigma,0.14643165552407858,-0.18597038353222867,-0.03380722796676813,-0.00694543430480264,0.012673410633101845,0.04008376897055827,0.08471197805912542,-0.09596983250194122,-0.016401776281235462,-0.03480708521458936
OilField.var_capitalMu,0.06450878896089393,-0.11787179943742998,-0.03991706321949467,-0.01512203957433367,-0.031847084423762856,0.023133696091169213,-0.03295954356733718,-0.08193672863441637,-0.05845745004138312,-0.022792572896584422
OilField.var_capitalSigma,0.09427126400313132,0.030214394648179536,0.027950444192463966,0.12468529759396194,0.07784061491184739,-0.04580734977778015,0.03585706481978141,0.18258733758232762,-0.04873324711079195,-0.21595288970752743
OilField.var_employeesMu,0.15881360780652068,-0.18716893286822042,-0.06521711916785027,-0.028515408478787512,0.016247385467437103,-0.19706702568848145,0.06731797104895021,0.07298841692959454,0.062430846259771265,-0.08918392712720995
OilField.var_employeesSigma,-0.21508707228572504,0.24281759428602834,0.11214392193341553,0.149300473834034,0.1470962777585298,0.09856761637367362,-0.07179224473361367,-0.12038258109205317,-0.1790941974571565,0.08019526513697227
OilField.var_goodwillMu,-0.06016555849884381,0.07364332441638058,-0.049683324349047576,0.06527061683962633,0.025290653332265205,0.0651283630670573,0.008323617890935258,0.056979479433190976,-0.052459062798581355,-0.08590360676604744
OilField.var_goodwillSigma,0.035026183497537305,-0.1521574111550666,0.03809633912436045,-0.10900652354031122,-0.1276886160250771,-0.10123716903461145,0.05449196057269042,-0.1231421375253891,0.06993026187695854,0.07474629721308512
OilField.var_total_value_destroyedMu,0.07805139613868636,-0.06506979980167994,0.004907005105324189,0.02500381284109621,-0.1436401048942835,0.021073742285296262,-0.05890038607581989,-0.031268185701705205,-0.08943710947225547,0.01967726480248054
OilField.var_total_value_destroyedSigma,0.04761644014740571,0.028971884106746563,0.10782749380342595,0.12415806905870422,-0.03166688035385885,0.049742030891003756,-0.01917277582498408,0.01756385710257119,-0.021582804072297623,-0.013600101040330189
OilField.var_valueProducedMu,-0.0003331720028627311,-0.05822677622231543,0.02012546019364432,0.05500242872219554,-0.036187888406154674,0.03903324128911915,0.01368293576903304,0.08235953668254548,-0.014662266327882372,-0.000406012662719696
OilField.var_valueProducedSigma,0.06686229024239433,0.0650546498593342,-0.07150677383756135,0.027522750425512155,-0.027210828648335277,-0.06135773976973941,0.005587625787601828,-0.0037854387215202536,0.108166403221209,0.12792557321588363
